= 未分组 =

江西移动,#genre#
CCTV1[1280*720],http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV2[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5[1280*720],http://39.134.115.221:8080/PLTV/88888910/224/3221225751/index.m3u8
CCTV5[1280*720],http://39.134.115.221:8080/PLTV/88888910/224/3221225752/index.m3u8
CCTV5[1280*720],http://39.134.115.221:8080/PLTV/88888910/224/3221225754/index.m3u8
CCTV5[1280*720],http://39.134.115.221:8080/PLTV/88888910/224/3221225755/index.m3u8
CCTV5+[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV10[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225640/index.m3u8
